City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Wapi Pathum,TH,15.8452,103.3768,75.63,92,100,6.78,overcast clouds
80,Prince Rupert,CA,54.3161,-130.3201,46.09,73,99,13.8,overcast clouds
81,Igrim,RU,63.1906,64.4162,19.36,75,0,9.33,clear sky
82,Bredasdorp,ZA,-34.5322,20.0403,59.29,88,32,6.91,scattered clouds
83,Dwarka,IN,22.2394,68.9678,78.93,42,99,6.26,overcast clouds
84,Chuy,UY,-33.6971,-53.4616,64.36,91,0,12.15,light rain
85,Champerico,GT,14.3,-91.9167,86.54,74,4,5.08,clear sky
86,Upernavik,GL,72.7868,-56.1549,19.81,61,3,6.58,clear sky
87,Castro,BR,-24.7911,-50.0119,61.38,93,44,11.14,scattered clouds
88,Clyde River,CA,70.4692,-68.5914,28.63,100,90,5.75,light snow
89,Kalmunai,LK,7.4167,81.8167,79.5,81,89,1.79,overcast clouds
90,Kodiak,US,57.79,-152.4072,44.11,87,90,18.41,mist
91,Torbay,CA,47.6666,-52.7314,40.39,93,90,17.27,light intensity drizzle
92,Grand Gaube,MU,-20.0064,57.6608,72.37,91,45,1.99,scattered clouds
93,Jibuti,DJ,11.5,42.5,73.8,69,14,14.36,few clouds
94,Yanam,IN,16.7333,82.2167,76.46,92,100,4.7,overcast clouds
95,Mount Isa,AU,-20.7333,139.5,69.57,60,90,6.91,overcast clouds
96,Roald,NO,62.5833,6.1333,55.54,58,75,9.22,broken clouds
97,Vanimo,PG,-2.6741,141.3028,84.83,70,99,4.99,overcast clouds
98,Kyra,RU,49.5776,111.9753,26.37,63,97,2.82,overcast clouds
99,Baykit,RU,61.67,96.37,25.38,96,100,4.45,light snow
100,Faya,SA,18.3851,42.4509,57.31,33,55,6.08,broken clouds
101,Malatya,TR,38.5,38.0,46.45,87,75,2.3,broken clouds
102,Talnakh,RU,69.4865,88.3972,17.44,95,100,8.63,light snow
103,Kamien Pomorski,PL,53.9685,14.7726,47.5,62,19,11.21,few clouds
104,Dothan,US,31.2232,-85.3905,57.4,77,80,10.29,broken clouds
105,Moose Factory,CA,51.2585,-80.6094,44.6,70,90,2.3,overcast clouds
106,Nouadhibou,MR,20.931,-17.0347,69.06,77,35,16.35,scattered clouds
107,Hobart,AU,-42.8794,147.3294,53.26,62,75,3.0,broken clouds
