City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Oberwart,AT,2021-10-24 22:05:21,47.2897,16.206,44.58,81,0,4.94
68,Kokopo,PG,2021-10-24 22:05:21,-4.352,152.2633,81.28,68,100,1.92
69,Mataura,NZ,2021-10-24 22:05:22,-46.1927,168.8643,63.03,68,93,2.82
70,Saint-Philippe,RE,2021-10-24 22:04:46,-21.3585,55.7679,74.48,80,44,13.09
71,Jacobina,BR,2021-10-24 22:05:22,-11.1806,-40.5183,75.06,85,99,2.53
72,Nome,US,2021-10-24 22:05:22,64.5011,-165.4064,33.87,80,90,4.61
73,Yumen,CN,2021-10-24 22:05:23,40.2833,97.2,45.21,36,100,19.44
74,Ridgecrest,US,2021-10-24 22:05:23,35.6225,-117.6709,78.66,36,1,4.0
75,Hilo,US,2021-10-24 22:05:24,19.7297,-155.09,85.28,83,39,1.99
76,Touros,BR,2021-10-24 22:05:24,-5.1989,-35.4608,81.5,72,35,13.49
77,Ahipara,NZ,2021-10-24 22:05:24,-35.1667,173.1667,65.98,71,16,3.6
78,Tasiilaq,GL,2021-10-24 22:05:25,65.6145,-37.6368,32.16,86,100,45.54
79,Wonthaggi,AU,2021-10-24 22:05:25,-38.6044,145.5913,57.43,72,91,7.61
80,Puerto Ayora,EC,2021-10-24 22:05:25,-0.7393,-90.3518,78.76,86,100,10.85
81,Cascais,PT,2021-10-24 22:05:26,38.6979,-9.4215,61.5,67,3,5.01
82,Atuona,PF,2021-10-24 22:04:20,-9.8,-139.0333,77.31,78,9,17.07
83,Mogadishu,SO,2021-10-24 22:05:26,2.0371,45.3438,79.43,81,45,13.76
84,Kutum,SD,2021-10-24 22:05:10,14.2,24.6667,75.43,25,2,11.92
85,Kimbe,PG,2021-10-24 22:05:27,-5.5502,150.1429,82.36,74,41,1.07
86,Stokmarknes,NO,2021-10-24 22:05:27,68.5646,14.9108,39.49,95,100,8.23
87,Port Elizabeth,ZA,2021-10-24 22:03:08,-33.918,25.5701,52.11,80,0,4.61
88,Barranca,PE,2021-10-24 22:05:28,-10.75,-77.7667,64.27,78,27,11.52
89,Luchegorsk,RU,2021-10-24 22:05:28,46.4764,134.2569,35.83,77,3,3.8
90,Kodiak,US,2021-10-24 22:02:47,57.79,-152.4072,43.56,85,34,9.91
91,Mar Del Plata,AR,2021-10-24 22:05:29,-38.0023,-57.5575,64.42,39,0,9.22
92,Tamandare,BR,2021-10-24 22:04:33,-8.7597,-35.1047,77.7,75,70,9.08
